"filename", "language", "Vue", "comment", "blank", "total"
"/Users/dawidpolak/WORK/projects/stronaDlaJakuba/portfolio-jakub/src/components/About.vue", "Vue", -2, 0, -1, -3
"/Users/dawidpolak/WORK/projects/stronaDlaJakuba/portfolio-jakub/src/components/Documents.vue", "Vue", 97, 0, 26, 123
"/Users/dawidpolak/WORK/projects/stronaDlaJakuba/portfolio-jakub/src/components/Education.vue", "Vue", 23, 0, 7, 30
"/Users/dawidpolak/WORK/projects/stronaDlaJakuba/portfolio-jakub/src/views/Home.vue", "Vue", 6, 0, 0, 6
"Total", "-", 124, 0, 32, 156
